Date,Clics,Impressions,CTR,Position
2024-02-18,78,2377,3.28%,20.97
2024-02-17,79,2196,3.6%,20.9
2024-02-16,77,2162,3.56%,21.3
2024-02-15,70,2112,3.31%,19.84
2024-02-14,63,2129,2.96%,18.51
2024-02-13,74,2506,2.95%,24.92
2024-02-12,75,3470,2.16%,29.56
2024-02-11,89,2254,3.95%,21.39
2024-02-10,58,2146,2.7%,21.04
2024-02-09,72,2200,3.27%,22.41
2024-02-08,57,2363,2.41%,21.61
2024-02-07,76,2271,3.35%,22.22
2024-02-06,69,2099,3.29%,21.64
2024-02-05,71,2106,3.37%,21.96
2024-02-04,71,2251,3.15%,21.38
2024-02-03,59,1976,2.99%,22.43
2024-02-02,60,2063,2.91%,22.83
2024-02-01,76,2176,3.49%,21.24
2024-01-31,79,2227,3.55%,21.3
2024-01-30,69,2183,3.16%,20.73
2024-01-29,82,2374,3.45%,19.62
2024-01-28,60,1967,3.05%,21.67
2024-01-27,62,1938,3.2%,22.55
2024-01-26,68,2070,3.29%,23.25
2024-01-25,58,2134,2.72%,22.82
2024-01-24,48,2022,2.37%,22.6
2024-01-23,47,2099,2.24%,23.4
2024-01-22,81,2220,3.65%,21.93
2024-01-21,73,2020,3.61%,20.78
2024-01-20,63,1852,3.4%,22.28
2024-01-19,54,1813,2.98%,21.91
2024-01-18,51,1847,2.76%,21.48
2024-01-17,68,1818,3.74%,20.96
2024-01-16,64,1828,3.5%,21.2
2024-01-15,60,2041,2.94%,24.08
2024-01-14,56,2829,1.98%,31.99
2024-01-13,68,2324,2.93%,29.82
2024-01-12,58,1801,3.22%,22.87
2024-01-11,55,1936,2.84%,21.64
2024-01-10,58,1864,3.11%,20.9
2024-01-09,55,1844,2.98%,21.93
2024-01-08,53,1737,3.05%,21.39
2024-01-07,48,1661,2.89%,23.66
2024-01-06,42,1501,2.8%,23.92
2024-01-05,58,1728,3.36%,22.17
2024-01-04,58,1839,3.15%,20.35
2024-01-03,62,1880,3.3%,20.19
2024-01-02,69,1897,3.64%,21.36
2024-01-01,50,1556,3.21%,22.02
2023-12-31,33,1417,2.33%,22.9
2023-12-30,42,1513,2.78%,22.88
2023-12-29,54,1664,3.25%,22.25
2023-12-28,46,1735,2.65%,20.35
2023-12-27,43,1806,2.38%,20.69
2023-12-26,41,1670,2.46%,23.62
2023-12-25,44,1427,3.08%,24.98
2023-12-24,34,1426,2.38%,26.29
2023-12-23,27,1389,1.94%,24.78
2023-12-22,33,1659,1.99%,29.37
2023-12-21,26,1469,1.77%,24.2
2023-12-20,51,1577,3.23%,22.89
2023-12-19,35,1788,1.96%,24.12
2023-12-18,55,1736,3.17%,21.69
2023-12-17,44,1599,2.75%,25.35
2023-12-16,30,2121,1.41%,32.01
2023-12-15,36,2694,1.34%,36.31
2023-12-14,57,1923,2.96%,28.34
2023-12-13,40,1658,2.41%,23.65
2023-12-12,53,1568,3.38%,24.5
2023-12-11,51,1626,3.14%,24.12
2023-12-10,59,1638,3.6%,27.19
2023-12-09,29,1363,2.13%,26.06
2023-12-08,30,1456,2.06%,29.72
2023-12-07,27,1324,2.04%,28.1
2023-12-06,29,1312,2.21%,26.58
2023-12-05,31,1270,2.44%,26.6
2023-12-04,32,1442,2.22%,31.66
2023-12-03,23,1270,1.81%,29.98
2023-12-02,38,1167,3.26%,27.72
2023-12-01,29,1247,2.33%,28.56
2023-11-30,30,1257,2.39%,27.02
2023-11-29,30,1316,2.28%,25.92
2023-11-28,23,1357,1.69%,29.03
2023-11-27,34,1385,2.45%,28.85
2023-11-26,28,1226,2.28%,30.77
2023-11-25,33,1242,2.66%,30.07
2023-11-24,30,1364,2.2%,29.38
2023-11-23,24,1491,1.61%,31.09
2023-11-22,29,1442,2.01%,29.73
2023-11-21,26,1322,1.97%,27.74
2023-11-20,36,1338,2.69%,27.39
2023-11-19,26,1169,2.22%,27.32